APPLICATION_NUMBER,TARGET
123724268,0.071149
123456549,0.2958581
123428178,0.15080167
123619984,0.08883158
123671104,0.028552672
123632747,0.03685378
123728867,0.07594056
123459592,0.13472213
123595888,0.028315047
123480224,0.031868033
123471321,0.09373315
123725319,0.046445545
123500343,0.036422428
123654690,0.13983294
123434840,0.033099446
123519890,0.10257147
123464497,0.16853857
123689418,0.031392507
123699541,0.042268436
123667053,0.11602586
123493724,0.08858814
123540873,0.028315047
123683158,0.09615626
123675730,0.034745373
123569456,0.08818571
123590315,0.08283661
123608042,0.27423498
123637247,0.029986078
123696300,0.052629728
123645299,0.1371083
123478448,0.029909892
123552626,0.13313462
123660023,0.11950087
123458715,0.10778513
123673488,0.029090375
123445200,0.028315047
123728923,0.08734719
123609395,0.07095722
123598270,0.12910816
123625898,0.060822923
123473077,0.05217278
123545605,0.038970727
123447425,0.11275645
123433257,0.040044416
123468285,0.10513557
123699079,0.28670034
123720024,0.06299752
123488000,0.3593853
123468623,0.07745566
123673653,0.028315047
123438396,0.031468693
123478434,0.1081044
123573573,0.08080995
123663154,0.100560315
123534174,0.09338136
123448203,0.10730867
123491207,0.064680316
123486104,0.04918875
123672936,0.055764794
123440414,0.08344463
123708919,0.04455146
123436816,0.031295665
123565375,0.05082318
123717492,0.040141307
123496348,0.107029654
123543275,0.10873086
123651430,0.10644907
123594082,0.21962881
123506762,0.0441568
123697915,0.10002928
123675858,0.11019783
123652118,0.110153295
123560179,0.034838017
123570441,0.11372974
123574171,0.11869663
123658397,0.04201784
123557517,0.046462502
123459087,0.11063317
123616578,0.031468693
123707428,0.09813897
123455128,0.2404799
123576408,0.08495633
123478469,0.031468693
123511244,0.12052221
123613368,0.3379871
123508859,0.030320207
123447568,0.07493367
123561385,0.04887477
123462302,0.13634266
123583551,0.06362086
123680994,0.3058211
123460039,0.051329665
123595981,0.11241675
123511880,0.120661035
123658934,0.104231395
123674856,0.12003399
123629953,0.09349614
123674296,0.028315047
123680752,0.06845952
123493031,0.029090375
123426225,0.105553426
123696163,0.08591571
123609069,0.09629748
123608197,0.029357523
123682131,0.028315047
123548371,0.03364209
123666065,0.028315047
123691224,0.077478364
123610127,0.057727456
123609811,0.028315047
123603556,0.30829623
123576819,0.1390194
123666101,0.031392507
123599019,0.060766317
123714219,0.0457677
123450631,0.07195489
123591297,0.06926762
123640295,0.08696942
123435383,0.07937574
123648025,0.028315047
123607172,0.039657336
123576615,0.11419972
123689086,0.029090375
123431889,0.028315047
123433520,0.0780437
123552179,0.030557832
123572473,0.030807046
123521600,0.039278977
123571125,0.05459193
123532513,0.041843534
123599387,0.10168736
123617258,0.21465941
123492753,0.5434516
123570720,0.048928685
123571431,0.08314818
123507927,0.3334438
123591436,0.14100857
123626222,0.288112
123638226,0.028552672
123655607,0.036239054
123500036,0.0598174
123430009,0.096114874
123695265,0.18251596
123537332,0.08335785
123665539,0.26185492
123501885,0.07730038
123686004,0.11313237
123724589,0.10168736
123692159,0.15853433
123671030,0.06927275
123484855,0.08819995
123442196,0.031468693
123641644,0.05153907
123628192,0.07905801
123441332,0.07412328
123709933,0.074548826
123525643,0.099192694
123655422,0.031295665
123676869,0.35112408
123576991,0.030557832
123691511,0.05248763
123590563,0.029226396
123606274,0.031468693
123685539,0.10925273
123712086,0.031392507
123439493,0.08835069
123725031,0.05592215
123438049,0.038191136
123499584,0.07548819
123694174,0.17602436
123573618,0.084080294
123496241,0.12539792
123452939,0.031392507
123618852,0.128969
123492311,0.19500028
123493216,0.25691387
123534290,0.36032423
123490413,0.038285602
123674282,0.12728451
123555380,0.24586515
123456321,0.037060227
123536170,0.033830136
123652190,0.2620587
123552380,0.20453429
123495749,0.039781623
123665864,0.24377239
123597405,0.030557832
123496507,0.031468693
123482113,0.028315047
123462055,0.031468693
123682157,0.031468693
123703385,0.052917104
123432509,0.028315047
123630016,0.20172845
123506364,0.103651464
123680991,0.028315047
123496863,0.075251736
123714126,0.031392507
123588643,0.062359612
123577735,0.028315047
123499268,0.10932548
123713945,0.042885486
123430500,0.061761826
123504335,0.28156397
123576696,0.19332872
123703429,0.10573713
123698704,0.031468693
123665335,0.07727919
123569862,0.045998063
123485895,0.028315047
123679092,0.079033576
123656332,0.034771387
123705996,0.29976138
123701874,0.077220514
123653512,0.06147521
123536231,0.2929403
123479428,0.03374972
123630707,0.098733425
123619817,0.0800365
123681462,0.09290691
123611410,0.08157565
123564670,0.065919004
123459040,0.04621471
123726057,0.09312419
123624839,0.21190786
123575870,0.06611226
123561429,0.29177216
123519183,0.03328488
123519881,0.08960473
123727183,0.08716188
123622905,0.04710115
123609128,0.23855378
123683566,0.28028104
123606681,0.4673356
123652413,0.031791847
123708269,0.20950611
123711013,0.028315047
123556691,0.029328002
123721561,0.19281794
123702835,0.16206625
123483517,0.19805875
123725101,0.09135779
123658312,0.07243635
123703391,0.13791092
123498197,0.19611706
123449019,0.111571245
123653882,0.11672547
123586486,0.029909892
123610487,0.20558004
123679327,0.044482935
123673392,0.031468693
123661393,0.07180881
123457415,0.06664471
123659635,0.02973029
123634239,0.033459257
123430996,0.06327315
123671944,0.16287155
123598860,0.040817283
123614404,0.089840524
123552108,0.117902
123575779,0.051769864
123606379,0.079746366
123676060,0.08902425
123548820,0.088819146
123485786,0.031392507
123503051,0.3049488
123664515,0.10506896
123598454,0.11229514
123559220,0.19304712
123525508,0.04837761
123461947,0.078258514
123628510,0.10473428
123444892,0.16805339
123598346,0.12609635
123602122,0.0524425
123548716,0.10070372
123637505,0.07841363
123612575,0.060854908
123462279,0.05193862
123592793,0.09578436
123582892,0.1004305
123611064,0.034701806
123614860,0.0893263
123596548,0.17217967
123643469,0.030730858
123494414,0.035507012
123483589,0.028315047
123556084,0.16300729
123721051,0.028315047
123450541,0.11257726
123437585,0.06824537
123481754,0.051164545
123649740,0.09247029
123527684,0.24892636
123429040,0.47716045
123449777,0.059376977
123495100,0.07086198
123557624,0.1906931
123481937,0.028315047
123718429,0.19308706
123663519,0.031468693
123540365,0.028315047
123444261,0.09876194
123622149,0.048897248
123650637,0.03121948
123534000,0.08577335
123600570,0.14068715
123646237,0.031468693
123454388,0.11087008
123454153,0.26942116
123644089,0.09639787
123555068,0.06915526
123698426,0.11193424
123433404,0.05269422
123546695,0.12231706
123505780,0.11202631
123685819,0.31878805
123608882,0.032081354
123696828,0.102297366
123678755,0.10104793
123545322,0.18173529
123541941,0.2610985
123451395,0.06787085
123439808,0.16477966
123571852,0.08946509
123691980,0.070034236
123550091,0.09613957
123442292,0.14473046
123709056,0.028552672
123641420,0.028315047
123682623,0.12440671
123495589,0.028315047
123463445,0.043189287
123684118,0.03575041
123489465,0.09488677
123604190,0.030557832
123607874,0.066192776
123679172,0.0835943
123646934,0.09804869
123606470,0.059400488
123729142,0.11883455
123483737,0.5167132
123654607,0.15773165
123485407,0.04828308
123440884,0.032081354
123555440,0.036983456
123646150,0.031468693
123633529,0.05217967
123572586,0.28249055
123529503,0.08758598
123650583,0.03291706
123677020,0.06044581
123516094,0.1120802
123696710,0.08585996
123531119,0.10989575
123660355,0.1225977
123657909,0.0969515
123606420,0.110227056
123513779,0.03233667
123449847,0.08394537
123713224,0.18095176
123579200,0.15597728
123565369,0.32034686
123476809,0.043645322
123636722,0.07259896
123581037,0.24546735
123541854,0.047451634
123636367,0.09687693
123725987,0.22731914
123717848,0.0855788
123544418,0.10097065
123543619,0.039856084
123602606,0.029090375
123455879,0.27801272
123601295,0.2885389
123538958,0.08394537
123462587,0.031468693
123677363,0.096258335
123644689,0.028315047
123577809,0.02899854
123462593,0.036607917
123639102,0.031392507
123611080,0.049993306
123669243,0.15896557
123450935,0.033863414
123678610,0.28123742
123673769,0.052398648
123615898,0.21859129
123579560,0.036256224
123659815,0.028315047
123543624,0.029328002
123699678,0.033644665
123431269,0.03317616
123707544,0.030730858
123681853,0.06101821
123429058,0.047181636
123588610,0.33278733
123590900,0.029090375
123507575,0.031468693
123698605,0.16879047
123564683,0.11434734
123540755,0.12374346
123642649,0.12597606
123533582,0.054901246
123549528,0.031160686
123661951,0.031392507
123660285,0.28967187
123656929,0.18225975
123503600,0.12104441
